gene_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
MSTRG.1|rpl24,1926,1684,509,6319,1149
MSTRG.2|cep97,131,75,72,89,96
MSTRG.1,8344,5017,5923,0,4851
MSTRG.3|nfkbiz,109,81,64,88,87
MSTRG.4|eed,219,129,136,101,119
MSTRG.5|hikeshi,161,117,91,57,51
MSTRG.6|tmem39a,222,157,134,177,176
MSTRG.7|ildr1a,204,148,143,220,221
MSTRG.8,21,13,14,15,14
MSTRG.11|si:zfos-1011f11.2,35,21,0,27,21
MSTRG.12|gpa33a,402,258,260,258,265
MSTRG.9,33,27,21,38,28
MSTRG.10,19,13,8,11,9
MSTRG.13|FP067451.1,0,0,0,0,0
MSTRG.14|f7l,48,43,39,33,31
MSTRG.15|f7,170,166,119,72,65
MSTRG.16|f7i,241,177,168,68,80
MSTRG.17|f10,852,488,478,399,400
MSTRG.19|pcid2,174,95,86,83,92
MSTRG.21|FO681286.1,0,0,0,2,0
MSTRG.24|lamp1a,269,156,161,93,111
MSTRG.26|grtp1a,237,190,165,155,150
MSTRG.18|prozb,68,29,33,28,23
MSTRG.20|cul4a,426,314,233,244,243
MSTRG.22,86,39,43,56,53
MSTRG.23,86,41,58,32,29
MSTRG.25,140,93,77,65,48
MSTRG.21|adprhl1,34,18,12,14,14
MSTRG.27|dcun1d2b,224,161,151,197,188
MSTRG.28|tmco3,80,53,66,34,43
MSTRG.29|tfdp1b,148,111,84,184,178
MSTRG.30,0,6,0,6,0
MSTRG.30|grk1a,199,124,117,128,133
MSTRG.31|cenpe,748,458,413,472,426
MSTRG.31,25,0,11,9,3
MSTRG.32|gas6,289,193,183,187,172
MSTRG.32,10,4,4,2,3
MSTRG.33|pros1,179,112,109,95,90
MSTRG.34,50,32,30,33,29
MSTRG.35|rasa3,405,271,207,290,287
MSTRG.35,46,18,23,0,0
MSTRG.36,13,3,13,11,7
MSTRG.36|tpp2,474,280,234,383,355
ENSDARG00000078878|METTL21C,13,0,0,0,0
MSTRG.37|zgc:92518,87,41,36,26,23
MSTRG.38|ercc5,98,70,82,72,75
MSTRG.39|blzf1,408,218,237,276,263
MSTRG.40|trmt10c,101,51,55,80,76
MSTRG.41|txnl4b,27,16,22,21,19
MSTRG.42|si:ch73-41e3.7,0,0,0,0,0
MSTRG.43,0,0,61,0,0
MSTRG.43|mrpl16,450,302,215,270,272
MSTRG.44|mrpl39,388,195,173,209,181
MSTRG.44,0,2,2,5,0
MSTRG.46|dre-mir-155,0,0,0,0,0
MSTRG.45|CU571081.1,45,37,33,21,28
MSTRG.47,0,0,26,0,0
MSTRG.47|jam2a,197,136,47,90,63
MSTRG.48|atp5pf,1816,1105,1048,1165,1076
MSTRG.49|appa,2952,1953,1774,2108,2028
MSTRG.49,0,0,0,135,0
MSTRG.50,0,0,0,0,67
MSTRG.50|cyyr1,115,64,62,105,0
MSTRG.51|adamts1,82,55,61,75,87
MSTRG.51,15,0,0,26,0
MSTRG.52|adamts5,142,89,78,87,87
MSTRG.53|gart,0,0,0,0,0
MSTRG.53,311,225,195,255,244
MSTRG.54|n6amt1,78,61,54,48,40
MSTRG.55,186,109,112,78,73
MSTRG.56|CZQB01066256.1,44,20,24,27,16
MSTRG.57,0,0,0,0,7
MSTRG.57|runx1,30,12,13,16,0
MSTRG.58|urp2,8,10,0,11,6
MSTRG.59|clic6,1,20,0,7,0
MSTRG.59,43,0,30,28,30
MSTRG.60|atp1a1a.1,951,1596,1181,2465,2664
MSTRG.60,8746,4682,5501,4750,3630
MSTRG.60|atp1a1a.4,4436,2077,1874,766,664
MSTRG.61,217,155,131,315,258
MSTRG.62,249,185,146,347,308
MSTRG.60|atp1a1a.2,586,787,6,8,390
MSTRG.60|atp1a1a.3,606,350,331,408,317
MSTRG.60|atp1a1a.5,383,287,202,154,142
MSTRG.63,36,20,22,24,15
MSTRG.64,36,22,11,16,6
MSTRG.65,31,27,15,25,18
MSTRG.66|si:ch211-132g1.3,11,10,3,1,45
MSTRG.67|si:ch211-132g1.6,0,0,0,0,0
MSTRG.68|si:ch211-132g1.4,0,0,0,0,0
MSTRG.69|si:ch211-132g1.1,0,0,0,0,0
MSTRG.66,183,106,108,97,65
MSTRG.70|si:ch211-132g1.7,40,28,24,29,27
ENSDARG00000033684|oxgr1a.1,0,0,0,0,0
ENSDARG00000078743|oxgr1a.2,0,1,2,0,0
MSTRG.71|mbnl2,84,350,364,61,511
MSTRG.71,697,154,127,713,172
MSTRG.72|rap2ab,46,40,37,26,35
MSTRG.73|kpnb3,2519,1465,1362,1297,1255
MSTRG.73|CR352215.1,1,0,1,2,1
MSTRG.74|farp1,549,401,306,314,357
MSTRG.74,250,119,131,198,138
MSTRG.75|si:ch211-235f1.3,0,0,0,0,0
MSTRG.76|CR352215.2,0,0,0,0,0
MSTRG.77,48,42,33,34,27
ENSDARG00000070579|ggact.3,7,2,1,1,1
ENSDARG00000038248|ggact.2,28,15,21,16,20
MSTRG.78|ggact.1,34,26,21,22,23
MSTRG.79|CU986306.1,0,0,0,0,0
MSTRG.80|gpc6a,71,48,38,46,42
MSTRG.81|gpc5a,58,34,33,34,43
MSTRG.82|dre-mir-92a-1,1,1,1,2,2
MSTRG.83|slitrk6,188,144,133,160,120
MSTRG.84|FP009765.2,4,4,9,12,14
MSTRG.85,506,315,296,266,244
ENSDARG00000117775|FO744838.1,0,0,0,0,0
MSTRG.86,23,16,13,12,9
MSTRG.87,0,115,58,193,87
MSTRG.87|spry2,616,302,330,225,334
MSTRG.88|ndfip2,333,245,216,161,142
MSTRG.89|tuba8l2,2589,1479,1387,3138,2881
MSTRG.90,0,0,0,85,11
MSTRG.90|stk16,131,83,77,83,156
ENSDARG00000016706|atic,0,0,0,0,0
MSTRG.91|atic,468,313,297,233,186
MSTRG.92|mnx2b,43,25,24,56,42
MSTRG.93|fn1b,242,157,810,8,791
MSTRG.93,3672,2309,1581,2342,1526
MSTRG.94|cpo,403,231,227,28,18
MSTRG.95|nrp2a,565,366,317,465,402
MSTRG.96|pard3ba,144,97,80,68,67
MSTRG.96,4,0,0,0,0
