transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000164359,0,0,212,5497,1149
ENSDART00000158290,0,0,0,0,0
ENSDART00000157701,0,0,0,0,0
ENSDART00000161842,0,0,0,0,0
ENSDART00000170877,0,0,0,0,0
ENSDART00000165461,0,0,0,0,0
ENSDART00000171631,0,0,0,0,0
ENSDART00000169005,0,0,0,0,0
MSTRG.1.2,8344,5017,5923,0,4851
ENSDART00000167898,1926,1684,297,822,0
ENSDART00000166393,131,75,72,89,96
ENSDART00000168451,0,0,0,0,0
ENSDART00000172487,0,0,0,0,0
ENSDART00000161190,0,0,0,0,0
ENSDART00000172454,109,81,64,88,87
ENSDART00000166052,0,0,0,0,0
ENSDART00000161955,0,0,0,0,0
ENSDART00000163891,0,0,0,0,0
ENSDART00000162928,219,129,136,101,119
ENSDART00000166557,0,0,0,0,0
ENSDART00000164075,0,0,0,0,0
ENSDART00000170183,0,0,0,0,0
ENSDART00000165693,0,0,0,0,2
ENSDART00000160050,0,0,0,0,0
ENSDART00000169744,0,0,0,0,0
ENSDART00000168660,0,0,0,0,0
ENSDART00000169685,161,117,91,57,51
ENSDART00000171547,98,4,5,85,5
ENSDART00000168091,124,153,129,92,169
ENSDART00000171162,0,0,0,0,0
ENSDART00000164034,0,0,0,0,0
ENSDART00000166228,0,0,0,0,0
ENSDART00000161565,0,0,0,0,0
ENSDART00000161352,0,0,0,0,0
ENSDART00000168428,204,148,143,220,221
MSTRG.8.1,21,13,14,15,14
ENSDART00000180269,0,0,0,0,0
ENSDART00000165267,0,0,0,0,0
ENSDART00000166954,0,0,0,0,0
ENSDART00000171963,0,0,0,0,0
ENSDART00000167148,0,0,0,39,43
MSTRG.9.1,33,27,21,38,28
MSTRG.10.1,19,13,8,11,9
ENSDART00000168609,35,21,0,27,21
ENSDART00000164282,287,155,157,219,222
ENSDART00000165650,115,103,103,0,0
ENSDART00000152494,0,0,0,0,0
ENSDART00000165402,48,43,39,33,31
ENSDART00000013209,170,166,119,72,65
ENSDART00000152301,0,0,0,0,0
ENSDART00000003463,238,175,167,67,78
ENSDART00000152530,2,1,0,0,0
ENSDART00000152248,1,1,1,1,2
ENSDART00000124837,852,488,478,399,400
ENSDART00000160221,0,0,0,0,0
ENSDART00000152573,0,0,0,0,0
ENSDART00000152426,0,0,0,0,0
ENSDART00000152132,0,0,0,0,0
ENSDART00000152200,0,0,0,0,0
ENSDART00000152361,0,0,0,0,0
ENSDART00000188956,0,0,0,2,0
ENSDART00000160425,0,0,0,0,0
ENSDART00000159237,0,0,0,0,0
ENSDART00000064061,68,29,33,28,23
ENSDART00000018741,174,95,86,83,92
ENSDART00000152205,50,38,34,24,30
ENSDART00000160843,376,276,199,220,213
MSTRG.22.1,86,39,43,56,53
MSTRG.23.1,86,41,58,32,29
ENSDART00000168760,269,156,161,93,111
MSTRG.25.1,140,93,77,65,48
ENSDART00000164091,237,190,165,155,150
ENSDART00000060968,34,18,12,14,14
ENSDART00000060971,224,161,151,197,188
ENSDART00000109529,80,53,66,34,43
ENSDART00000003317,0,0,0,0,0
ENSDART00000153285,148,111,84,184,178
MSTRG.30.2,0,6,0,6,0
ENSDART00000081743,199,124,117,128,133
ENSDART00000092584,0,0,0,2,0
ENSDART00000139438,0,0,0,0,0
ENSDART00000148172,0,0,0,0,0
ENSDART00000133431,0,0,0,0,0
MSTRG.31.6,0,0,0,4,0
MSTRG.31.8,0,0,0,5,0
ENSDART00000148261,0,0,0,0,0
ENSDART00000111806,748,458,413,470,426
MSTRG.31.7,25,0,11,0,3
ENSDART00000010092,289,193,183,187,172
MSTRG.32.2,9,4,3,1,0
MSTRG.32.3,1,0,1,1,3
ENSDART00000136423,0,0,0,0,0
ENSDART00000141590,0,0,0,0,0
ENSDART00000098627,179,112,109,95,90
MSTRG.34.1,50,32,30,33,29
ENSDART00000092524,405,271,207,290,287
MSTRG.35.2,46,18,23,0,0
MSTRG.36.2,0,0,12,0,0
ENSDART00000152173,474,280,234,383,355
MSTRG.36.3,12,2,0,10,2
MSTRG.36.4,1,1,1,1,5
ENSDART00000152799,13,0,0,0,0
ENSDART00000192527,0,0,0,0,0
ENSDART00000152511,0,0,0,0,0
ENSDART00000152684,87,41,36,26,23
ENSDART00000192494,0,0,0,0,0
ENSDART00000136878,0,0,0,0,0
ENSDART00000031635,0,0,0,0,0
ENSDART00000146732,0,0,0,0,0
ENSDART00000134581,0,0,0,0,0
ENSDART00000144406,98,70,82,72,75
ENSDART00000108579,307,218,237,195,165
